"scenarioId","scenarioStatus","metric","actualTB","expectedTB","deltaTB","deltaPct","metricStatus"
"sobr-matrix-move-gt-retention","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-matrix-move-gt-retention","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-matrix-move-gt-retention","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-gt-retention","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-zero","PASS","Planned Performance Tier","1.39","1.39","0","0","PASS"
"sobr-matrix-move-zero","PASS","Planned Capacity Tier","1.1","1.1","0","0","PASS"
"sobr-matrix-move-zero","PASS","Planned Archive Tier","0","0","0","0","PASS"
"sobr-matrix-move-zero","PASS","File Type Size - Full","0.67","0.67","0","0","PASS"
"sobr-matrix-move-zero","PASS","File Type Size - Incremental","0.03","0.03","0","0.08","PASS"
"sobr-matrix-move-zero","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0.08","PASS"
"lb-das-retention-count","PASS","Planned Capacity","1.18","1.18","0","0","PASS"
"lb-das-retention-count","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-das-retention-count","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-das-retention-count","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-das-sla-overrides-count","PASS","Planned Capacity","1.18","1.18","0","0","PASS"
"lb-das-sla-overrides-count","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-das-sla-overrides-count","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-das-sla-overrides-count","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-das-gfs-preserves-chain","PASS","Planned Capacity","1.23","1.23","0","0","PASS"
"lb-das-gfs-preserves-chain","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-das-gfs-preserves-chain","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-das-gfs-preserves-chain","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-gfs-expiry-order","PASS","Planned Capacity","1.23","1.23","0","0","PASS"
"lb-gfs-expiry-order","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-gfs-expiry-order","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-gfs-expiry-order","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-gfs-monthly-boundary","PASS","Planned Capacity","1.63","1.63","0","0","PASS"
"lb-gfs-monthly-boundary","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
"lb-gfs-monthly-boundary","PASS","File Type Size - Incremental","0.03","0.03","0","0","PASS"
"lb-gfs-monthly-boundary","PASS","File Type Size - SyntheticFull","0.03","0.03","0","0","PASS"
"lb-gfs-yearly-boundary","PASS","Planned Capacity","2.36","2.36","0","0","PASS"
"lb-gfs-yearly-boundary","PASS","File Type Size - Full","0.5","0.5","0","0","PASS"
